YEAR,1,2,3,4,5,6,7,8,9,10,11,12
2000,6.2,6.73,7.11,5.98,6.52,6.09,5.7,5.48,6.41,5.65,6.04,5.77
2001,6.1,6.16,6.18,6.84,6.11,5.24,4.67,4.8,6.05,5.7,6.02,5.61
2002,5.78,6.46,6.66,7.22,6.98,6.11,5.92,5.66,5.9,6.23,5.74,5.57
2003,6.03,6.29,6.47,7.22,6.64,5.98,5.15,4.98,5.86,6.44,5.97,5.86
2004,5.93,6.48,7.05,6.5,6.97,5.8,5.81,5.44,5.95,6.35,5.94,5.78
2005,6.09,6.88,6.68,6.71,6.81,6.02,4.87,5.5,5.94,6.33,6.26,6.24
2006,6.29,6.66,6.93,6.91,5.99,6.17,5.2,4.95,5.73,6.08,6.22,5.74
2007,6.05,6.44,6.96,6.59,6.28,5.68,4.89,5.24,5.85,6.48,6.25,6.28
2008,5.71,6.77,7.37,6.67,6.35,5.85,5.29,5.55,5.91,6.1,6.1,5.71
2009,6.1,6.16,6.66,7.15,6.97,6.19,5.34,5.47,6.11,5.98,5.96,5.56
2010,5.69,6.3,6.62,6.41,6,5.88,4.72,4.76,5.8,6.08,5.82,5.52
2011,5.82,7.02,6.32,7.01,6.09,5.77,5.04,4.98,5.56,6.49,5.82,5.99
2012,6.11,7.05,6.96,7.37,6.58,5.69,5.02,5.24,5.86,6.63,5.54,5.94
2013,6.06,6.84,6.85,7.21,6.46,5.69,5.07,4.68,5.83,5.92,5.98,6.01
2014,5.95,6.56,6.66,6.57,6.11,6.11,5.21,5.25,5.81,6.03,6.05,5.93
2015,6.21,6.79,6.87,7.08,6.18,5.84,6.08,5.47,5.84,6.07,5.91,5.32
2016,5.85,6.59,6.84,6.98,5.74,6.07,4.67,5.35,5.75,6.14,6.28,6.15
2017,6.53,5.79,6.57,6.44,6,6.17,5.51,4.64,5.7,5.69,6.14,6.14
2018,5.95,6.55,7.04,6.9,6.35,5.67,5.26,5.32,6.16,5.85,5.73,5.77
2019,6.31,6.37,6.78,6.78,6.04,5.89,5.4,4.8,5.39,6.01,5.55,5.83
2020,6.15,6.48,7.05,6.54,6.04,5.9,4.3,4.79,5.85,6.08,6.24,6.01
